;
;						Priority	Ranges		WatchTimes		Norm Ped			Mission Ped			InCar Ped			Player As Source
; 							Life	Vis Aud		Min	Max			%	H W G A	F		%	H W G A	F		%	H W G A	F		%	H W G A	F
;
SexyCar					0	0		25	0		2	4			20	9 1 0 0 0		0	0 0 0 0	0		20	9 0 0 0 0		20	9 1 0 0 0
RunningPed				0	0		0	0		2	4			80	9 2 0 0 0		0	0 0 0 0	0		5	9 0 0 0 0		80	9 1 0 0 0
VisibleWeapon			1	0		10	0		2	4			50	1 1 0 0 0		0	0 0 0 0	0		40	9 0 0 0 0		50	1 1 0 0 0
VisibleWeaponMELEE		1	0		10	0		2	4			50	9 1 0 0 0		0	0 0 0 0	0		25	9 0 0 0 0		50	9 1 0 0 0
VisibleWeaponTHROWN		1	0		10	0		2	4			60	4 1 0 0 0		0	0 0 0 0	0		0	0 0 0 0	0		60	4 1 0 0 0
VisibleWeaponHANDGUN	1	0		10	0		2	4			60	5 1 0 0 0		0	0 0 0 0	0		30	9 0 0 0 0		60	5 1 0 0 0
VisibleWeaponSHOTGUN	1	0		10	0		2	4			85	3 1 0 2 0		0	0 0 0 0	0		50	9 0 0 0 0		85	3 1 0 2 0
VisibleWeaponSMG		1	0		10	0		2	4			50	3 1 0 0 0		0	0 0 0 0	0		20	9 0 0 0 0		50	3 1 0 0 0
VisibleWeaponSNIPER		1	0		10	0		2	4			85	0 1 0 0 0		0	0 0 0 0	0		50	9 0 0 0 0		85	0 1 0 0 0
VisibleWeaponRIFLE		1	0		10	0		2	4			85	9 1 0 4 0		0	0 0 0 0	0		50	9 0 0 0 0		85	9 1 0 4 0
VisibleWeaponHEAVY		1	0		15	0		2	4			100	0 0 0 7 3		0	0 0 0 0	0		75	2 0 0 0 0		100	0 0 0 7 3
HornSounded				1	1		10	10		2	4			100	8 1 0 0	0		0	0 0 0 0	0		40	9 0 0 0 0		100	8 1 0 0	0
PlaneFlyby				1	0		30	25		5	10			100	6 4 0 0 0		0	0 0 0 0	0		10  9 0 0 0 0		100	6 4 0 0 0
SeenCarStolen			2	10		25	20		2	10			100	0 5 0 0 0		0	0 0 0 0	0		10	9 0 0 0 0		100	0 5 0 0 0
HelicopterOverhead		2	0		30	25		2	4			100	0 0 0 5 0		0	0 0 0 0	0		10  9 0 0 0 0		100	0 0 0 5 0
SeenMeleeAction			2	3		20	10		5	10			100	0 4	4 4 0		0	0 0 0 0	0		80	9 0 0 0 0		100	0 4	4 4 0
SeenGangFight			2	6		20	10		5	10			100	0 4	4 4 0		0	0 0 0 0	0		90	9 0 0 0 0		100	0 4	4 4 0
PedRunOver				2	3		10	10		5	10			95	1 1 6 2 0		0	0 0 0 0	0		10	9 0 0 0 0		95	1 1 6 2 0
PanickedPed				2	0
InjuredPed				2	4		20	20		5	10			95	1 1 6 2 0		0	0 0 0 0	0		10	9 0 0 0 0		95	1 1 6 2 0
DeadBody				2	0		10	0		5	10			95	1 0 6 2 0		0	0 0 0 0	0		10	9 0 0 0 0		95	1 0 6 2 0
DrivingOnPavement			3	1		0	0		4	8			100	4 5 0 0 0		0	0 0 0 0	0		60	7 0 0 0 0		100	4 6 0 0 0
MadDriver				3	1		0	0		2	4			100	0 4 0 1 0		0	0 0 0 0	0		80	5 0 0 0 0		100	0 4 0 1 0
CarCrash				3	2		10	10		5	10			100	3 6 0 0 0		0	0 0 0 0	0		90	9 0 0 0 0		100	0 2 2 8 0
CarPileUp				3	10		10	10		5	10			100	3 6 0 0 0		0	0 0 0 0	0		90	9 0 0 0 0		100	0 2 2 8 0
Fire					3	2		20	10		5	10			100	0 3 0 3 0		0	0 0 0 0	0		60	3 0 0 0 0		100	0 3 0 3 0
GunshotFired			3	7		45	100		2	10			100	0 0 0 0	8		0	0 0 0 0	0		60	2 0 0 0 0		100	0 0 0 0 8
PedShot					3	2		30	30		10	10			100	0 0 0 0 8		0	0 0 0 0	0		50	8 0 0 0 0		100 0 0 0 0 7
GunFight				3	15		60	140		2	10			100	0 0 0 0 4		0	0 0 0 0	0		75	2 0 0 0 0		40	0 0 0 0 4
Explosion				3	15		100	100		5	10			100	0 4 0 2 4		0	0 0 0 0	0		100	2 0 0 0	0		100	0 4 0 2 4
;
;
;
;the end
